TMK13,TMK9,TMK_Island,TMK_Zone,TMK_Sec,TMK_Plat,TMK_Parcel,TMK_CPR
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060130000,213006013000,2,13,00,601,3000,0
2130060130000,213006013000,2,13,00,601,3000,0
2130070020000,213007002000,2,13,00,700,2000,0
2130070030000,213007003000,2,13,00,700,3000,0
2130070060000,213007006000,2,13,00,700,6000,0
2130070100000,213007010000,2,13,00,701,0000,0
2130070100000,213007010000,2,13,00,701,0000,0
2130070130000,213007013000,2,13,00,701,3000,0
2130070150000,213007015000,2,13,00,701,5000,0
2130070170000,213007017000,2,13,00,701,7000,0
2130070180000,213007018000,2,13,00,701,8000,0
2130070200000,213007020000,2,13,00,702,0000,0
2130070200000,213007020000,2,13,00,702,0000,0
2130070220000,213007022000,2,13,00,702,2000,0
2130070230000,213007023000,2,13,00,702,3000,0
2130070250000,213007025000,2,13,00,702,5000,0
2130080020000,213008002000,2,13,00,800,2000,0
2130080020000,213008002000,2,13,00,800,2000,0
2130080030000,213008003000,2,13,00,800,3000,0
2130080040000,213008004000,2,13,00,800,4000,0
2130080050000,213008005000,2,13,00,800,5000,0
2130080050000,213008005000,2,13,00,800,5000,0
2130080060000,213008006000,2,13,00,800,6000,0
2130080070000,213008007000,2,13,00,800,7000,0
2130080080000,213008008000,2,13,00,800,8000,0
2130080080000,213008008000,2,13,00,800,8000,0
2130080090000,213008009000,2,13,00,800,9000,0
2130080100000,213008010000,2,13,00,801,0000,0
2130080110000,213008011000,2,13,00,801,1000,0
2130080110000,213008011000,2,13,00,801,1000,0
2130080120000,213008012000,2,13,00,801,2000,0
2130080120000,213008012000,2,13,00,801,2000,0
2130080130000,213008013000,2,13,00,801,3000,0
2130080140000,213008014000,2,13,00,801,4000,0
2130080140000,213008014000,2,13,00,801,4000,0
2130080150000,213008015000,2,13,00,801,5000,0
2130080160000,213008016000,2,13,00,801,6000,0
2130080190000,213008019000,2,13,00,801,9000,0
2130080190000,213008019000,2,13,00,801,9000,0
2130080200000,213008020000,2,13,00,802,0000,0
2130080210000,213008021000,2,13,00,802,1000,0
2130080220000,213008022000,2,13,00,802,2000,0
2130080230000,213008023000,2,13,00,802,3000,0
2130080230000,213008023000,2,13,00,802,3000,0
2130080240000,213008024000,2,13,00,802,4000,0
2130080240000,213008024000,2,13,00,802,4000,0
2130080250000,213008025000,2,13,00,802,5000,0
2130080260000,213008026000,2,13,00,802,6000,0
2130080260000,213008026000,2,13,00,802,6000,0
2130080270000,213008027000,2,13,00,802,7000,0
2130080280000,213008028000,2,13,00,802,8000,0
2130080290000,213008029000,2,13,00,802,9000,0
2130080300000,213008030000,2,13,00,803,0000,0
2130080300000,213008030000,2,13,00,803,0000,0
2130080310000,213008031000,2,13,00,803,1000,0
2130080310000,213008031000,2,13,00,803,1000,0
2130080320000,213008032000,2,13,00,803,2000,0
2130080320000,213008032000,2,13,00,803,2000,0
2130080330000,213008033000,2,13,00,803,3000,0
2130080330000,213008033000,2,13,00,803,3000,0
2130080350000,213008035000,2,13,00,803,5000,0
2130080360000,213008036000,2,13,00,803,6000,0
2130080380000,213008038000,2,13,00,803,8000,0
2130080380000,213008038000,2,13,00,803,8000,0
2130080390000,213008039000,2,13,00,803,9000,0
2130080400000,213008040000,2,13,00,804,0000,0
2130080410000,213008041000,2,13,00,804,1000,0
2130080420000,213008042000,2,13,00,804,2000,0
2130080440000,213008044000,2,13,00,804,4000,0
2130080440000,213008044000,2,13,00,804,4000,0
2130090020000,213009002000,2,13,00,900,2000,0
2130090030000,213009003000,2,13,00,900,3000,0
2130090040000,213009004000,2,13,00,900,4000,0
2130090040000,213009004000,2,13,00,900,4000,0
2130090070000,213009007000,2,13,00,900,7000,0
2130090080000,213009008000,2,13,00,900,8000,0
2130090100000,213009010000,2,13,00,901,0000,0
2130090100000,213009010000,2,13,00,901,0000,0
2130090110000,213009011000,2,13,00,901,1000,0
2130090110000,213009011000,2,13,00,901,1000,0
2130090120000,213009012000,2,13,00,901,2000,0
2130090130000,213009013000,2,13,00,901,3000,0
2130090140000,213009014000,2,13,00,901,4000,0
2130090160000,213009016000,2,13,00,901,6000,0
2130090170000,213009017000,2,13,00,901,7000,0
2130090180000,213009018000,2,13,00,901,8000,0
2130090200000,213009020000,2,13,00,902,0000,0
2130090210000,213009021000,2,13,00,902,1000,0
2130090210000,213009021000,2,13,00,902,1000,0
2130090220000,213009022000,2,13,00,902,2000,0
2130090220000,213009022000,2,13,00,902,2000,0
2130090240000,213009024000,2,13,00,902,4000,0
2130090250000,213009025000,2,13,00,902,5000,0
2130090270000,213009027000,2,13,00,902,7000,0
2130090280000,213009028000,2,13,00,902,8000,0
2130090280000,213009028000,2,13,00,902,8000,0
2130090290000,213009029000,2,13,00,902,9000,0
2130090290000,213009029000,2,13,00,902,9000,0
2130090290000,213009029000,2,13,00,902,9000,0
2130090300000,213009030000,2,13,00,903,0000,0
2130090300000,213009030000,2,13,00,903,0000,0
2130090310000,213009031000,2,13,00,903,1000,0
2130090310000,213009031000,2,13,00,903,1000,0
2130090320000,213009032000,2,13,00,903,2000,0
2130090330000,213009033000,2,13,00,903,3000,0
2130090340000,213009034000,2,13,00,903,4000,0
2130090350000,213009035000,2,13,00,903,5000,0
2130090350000,213009035000,2,13,00,903,5000,0
2130090360000,213009036000,2,13,00,903,6000,0
2130090420000,213009042000,2,13,00,904,2000,0
2130090420000,213009042000,2,13,00,904,2000,0
2130090450001,213009045000,2,13,00,904,5000,1
2130090450002,213009045000,2,13,00,904,5000,2
2130090460000,213009046000,2,13,00,904,6000,0
2130090470000,213009047000,2,13,00,904,7000,0
2130090480000,213009048000,2,13,00,904,8000,0
2130090480000,213009048000,2,13,00,904,8000,0
2130090490000,213009049000,2,13,00,904,9000,0
2130090490000,213009049000,2,13,00,904,9000,0
2130090500000,213009050000,2,13,00,905,0000,0
2130090510000,213009051000,2,13,00,905,1000,0
2130090520000,213009052000,2,13,00,905,2000,0
2130090530000,213009053000,2,13,00,905,3000,0
2130090540000,213009054000,2,13,00,905,4000,0
2130090570000,213009057000,2,13,00,905,7000,0
2130090590000,213009059000,2,13,00,905,9000,0
2130090590000,213009059000,2,13,00,905,9000,0
2130090600000,213009060000,2,13,00,906,0000,0
2130090600000,213009060000,2,13,00,906,0000,0
2130090610000,213009061000,2,13,00,906,1000,0
2130090620000,213009062000,2,13,00,906,2000,0
2130090650000,213009065000,2,13,00,906,5000,0
2130090680000,213009068000,2,13,00,906,8000,0
2130090680000,213009068000,2,13,00,906,8000,0
2130090690000,213009069000,2,13,00,906,9000,0
2130090700000,213009070000,2,13,00,907,0000,0
2130090710000,213009071000,2,13,00,907,1000,0
2130090730000,213009073000,2,13,00,907,3000,0
2130090750000,213009075000,2,13,00,907,5000,0
2130090760000,213009076000,2,13,00,907,6000,0
2130090760000,213009076000,2,13,00,907,6000,0
2130090770000,213009077000,2,13,00,907,7000,0
2130090780000,213009078000,2,13,00,907,8000,0
2130090790000,213009079000,2,13,00,907,9000,0
2130090800000,213009080000,2,13,00,908,0000,0
2130090810000,213009081000,2,13,00,908,1000,0
2130090830000,213009083000,2,13,00,908,3000,0
2130090840000,213009084000,2,13,00,908,4000,0
2130090840000,213009084000,2,13,00,908,4000,0
