TMK13,Bedrooms
2140130030000,3.0
2140130030000,4.0
2140130040000,3.0
2140130050000,1.0
2140130050000,4.0
2140130060000,3.0
2140130070000,3.0
2140130080000,3.0
2140130090000,2.0
2140130100000,3.0
2140130120000,3.0
2140130130000,6.0
2140130160000,2.0
2140130160000,3.0
2140130170000,3.0
2140130180000,3.0
2140130190000,3.0
2140130190000,2.0
2140130200000,3.0
2140130210000,3.0
2140130230000,3.0
2140130240000,3.0
2140130250000,3.0
2140130250000,2.0
2140130250000,2.0
2140130260000,3.0
2140130270000,2.0
2140130270000,2.0
2140130280000,2.0
2140130290000,3.0
2140130290000,2.0
2140130300000,2.0
2140130310000,4.0
2140130320000,3.0
2140130330000,3.0
2140130340000,3.0
2140130390000,3.0
2140130400000,4.0
2140130410000,3.0
2140130420000,3.0
2140130430000,3.0
2140130450000,3.0
2140130460000,3.0
2140130470000,3.0
2140130480000,3.0
2140130490000,3.0
2140130510000,3.0
2140130520000,3.0
2140130530000,3.0
2140130540000,3.0
2140130550000,3.0
2140130560000,3.0
2140130570000,3.0
2140130570000,2.0
2140130580000,3.0
2140130590000,3.0
2140130600000,3.0
2140130610000,3.0
2140130620000,3.0
2140130650000,2.0
2140130660000,2.0
2140130660000,3.0
2140130680000,2.0
2140130680000,3.0
2140130690000,
2140130700000,4.0
2140140010000,2.0
2140140030000,5.0
2140140040000,3.0
2140140050000,4.0
2140140050000,1.0
2140140060000,2.0
2140140060000,2.0
2140140070000,3.0
2140140080000,3.0
2140140090000,3.0
2140140100000,3.0
2140140110000,3.0
2140140120000,3.0
2140140130000,3.0
2140140140000,2.0
2140140150000,2.0
2140140160000,3.0
2140140170000,4.0
2140140170000,1.0
2140140180000,2.0
2140140190000,3.0
2140140190000,1.0
2140140200000,3.0
2140140200000,1.0
2140140230000,3.0
2140140240000,2.0
2140140250000,4.0
2140140260000,3.0
2140140270000,3.0
2140140280000,3.0
2140140280000,2.0
2140140290000,3.0
2140140300001,1.0
2140140300002,3.0
2140140310000,2.0
2140140320000,3.0
2140140320000,1.0
2140140340000,3.0
2140140350000,2.0
2140140360000,3.0
2140140370000,3.0
2140140380000,3.0
2140140390000,3.0
2140140400000,3.0
2140140410000,3.0
2140140420000,3.0
2140140430000,3.0
2140140440000,3.0
2140140450000,3.0
2140140460000,3.0
2140140470000,3.0
2140140480000,3.0
2140140490000,3.0
2140140500000,3.0
2140140510000,3.0
2140140530000,3.0
2140150010000,3.0
2140150020000,3.0
2140150030000,4.0
2140150040000,4.0
2140150050000,3.0
2140150060000,4.0
2140150070000,4.0
2140150080000,3.0
2140150090000,4.0
2140150100000,3.0
2140150110000,3.0
2140150120000,3.0
2140150130000,4.0
2140150140000,4.0
2150020080000,
2150020220000,3.0
2150030010000,3.0
2150030030000,3.0
2150030060000,3.0
2150030060000,1.0
2150030060000,2.0
2150030080000,3.0
2150030080000,2.0
2150030090000,2.0
2150030110000,5.0
2150030120000,2.0
2150030130000,3.0
2150030130000,1.0
2150030140000,3.0
2150030140000,2.0
2150030200000,2.0
2150030200000,
2150030230000,4.0
